test,timestamp,raw_data
,1779038631.3594184,L:-18467 R:-10717
,1779038631.3613276,L:-18467 R:-10717
,1779038631.3623753,L:-18467 R:-10717
,1779038631.364171,L:-18467 R:-10717
,1779038631.3663023,L:-18467 R:-10717
,1779038631.367416,L:-18467 R:-10717
,1779038631.3693855,L:-18467 R:-10717
,1779038631.3713408,L:-18467 R:-10717
,1779038631.372361,L:-18467 R:-10717
,1779038631.3743312,L:-18467 R:-10717
,1779038631.376302,L:-18467 R:-10717
,1779038631.3772063,L:-18467 R:-10717
,1779038631.3792863,L:-18467 R:-10717
,1779038631.3811216,L:-18467 R:-10717
,1779038631.3822675,L:-18467 R:-10717
,1779038631.384129,L:-18467 R:-10717
,1779038631.386288,L:-18467 R:-10717
,1779038631.3872721,L:-18467 R:-10717
,1779038631.3892734,L:-18467 R:-10717
,1779038631.391245,L:-18467 R:-10717
,1779038631.3923779,L:-18467 R:-10717
,1779038631.3945403,L:-18467 R:-10717
,1779038631.395404,L:-18467 R:-10717
,1779038631.3974922,L:-18467 R:-10717
,1779038631.3991148,L:-18467 R:-10717
,1779038631.4003584,L:-18467 R:-10717
,1779038631.402289,L:-18467 R:-10717
,1779038631.4042695,L:-18467 R:-10717
,1779038631.405388,L:-18467 R:-10717
,1779038631.4073877,L:-18467 R:-10717
,1779038631.4093785,L:-18467 R:-10717
,1779038631.4104052,L:-18467 R:-10717
,1779038631.4123425,L:-18467 R:-10717
,1779038631.4142697,L:-18467 R:-10717
,1779038631.4154646,L:-18467 R:-10717
,1779038631.4174361,L:-18467 R:-10717
,1779038631.4194167,L:-18467 R:-10717
,1779038631.4203198,L:-18467 R:-10717
,1779038631.4223325,L:-18467 R:-10717
,1779038631.424261,L:-18467 R:-10717
,1779038631.425362,L:-18467 R:-10717
,1779038631.427323,L:-18467 R:-10717
,1779038631.4284446,L:-18467 R:-10717
,1779038631.4303367,L:-18467 R:-10717
,1779038631.432394,L:-18467 R:-10717
,1779038631.4334226,L:-18467 R:-10717
,1779038631.4354117,L:-18467 R:-10717
,1779038631.43734,L:-18467 R:-10717
,1779038631.4384816,L:-18467 R:-10717
,1779038631.4404385,L:-18467 R:-10717
,1779038631.442385,L:-18467 R:-10717
,1779038631.443445,L:-18467 R:-10717
,1779038631.4455004,L:-18467 R:-10717
,1779038631.44728,L:-18467 R:-10717
,1779038631.4482095,L:-18467 R:-10717
,1779038631.4504244,L:-18467 R:-10717
,1779038631.4523473,L:-18467 R:-10717
,1779038631.4534643,L:-18467 R:-10717
,1779038631.455476,L:-18467 R:-10717
,1779038631.4573545,L:-18467 R:-10717
,1779038631.4584875,L:-18467 R:-10717
,1779038631.460453,L:-18467 R:-10717
,1779038631.4622924,L:-18467 R:-10717
